"user_id","governorate","wallet_type","account_age_days","recency_days","monthly_txn_frequency","loan_amount_egp","failed_trans_last_30d","transaction_risk_tier","is_churned","is_defaulted","composite_churn_indicator"
"EG_WAL_10148","Cairo","Verified_Tier1",372,89,14,1000,0,"Low Risk",1,0,3
"EG_WAL_14596","Alexandria","Basic",234,89,18,1000,1,"Medium Risk",1,0,5
"EG_WAL_10135","Cairo","Basic",559,89,22,2500,0,"Low Risk",1,0,6
"EG_WAL_12601","Cairo","Verified_Tier1",411,89,14,5000,2,"Medium Risk",1,0,3
"EG_WAL_10277","Giza","Basic",425,89,14,5000,0,"Low Risk",1,0,3
"EG_WAL_11835","Alexandria","Basic",252,89,16,1000,0,"Low Risk",1,0,4
"EG_WAL_13991","Cairo","Verified_Tier1",410,89,21,500,0,"Low Risk",1,0,6
"EG_WAL_10998","Asyut","Basic",138,89,15,500,0,"Low Risk",1,0,4
"EG_WAL_12501","Alexandria","Verified_Tier1",52,89,15,500,0,"Low Risk",1,0,4
"EG_WAL_12616","Cairo","Basic",479,89,19,1000,2,"Medium Risk",1,0,5
"EG_WAL_11360","Asyut","Basic",689,89,13,5000,0,"Low Risk",1,0,3
"EG_WAL_11912","Asyut","Basic",663,89,18,5000,0,"Low Risk",1,0,5
"EG_WAL_12743","Cairo","Basic",349,89,11,5000,0,"Low Risk",1,0,2
"EG_WAL_13257","Cairo","Basic",620,89,18,2500,0,"Low Risk",1,0,5
"EG_WAL_11470","Giza","Basic",95,89,8,1000,0,"Low Risk",1,0,2
"EG_WAL_10028","Giza","Verified_Tier1",178,89,11,500,1,"Medium Risk",1,0,2
"EG_WAL_11251","Giza","Basic",472,89,13,500,1,"Medium Risk",1,0,2
"EG_WAL_12263","Giza","Verified_Tier1",595,89,21,5000,2,"Medium Risk",1,0,6
"EG_WAL_10019","Cairo","Basic",564,89,27,500,0,"Low Risk",1,0,6
"EG_WAL_10875","Cairo","Verified_Tier1",436,89,14,2500,0,"Low Risk",1,0,3
"EG_WAL_10730","Cairo","Basic",116,89,11,2500,2,"Medium Risk",1,0,2
"EG_WAL_10510","Giza","Basic",300,89,15,5000,1,"Medium Risk",1,0,3
"EG_WAL_12886","Giza","Verified_Tier1",192,89,17,2500,0,"Low Risk",1,0,4
"EG_WAL_10609","Alexandria","Verified_Tier1",361,89,23,500,0,"Low Risk",1,0,6
"EG_WAL_10411","Asyut","Verified_Tier1",682,89,15,1000,0,"Low Risk",1,0,4
"EG_WAL_12732","Cairo","Verified_Tier1",393,89,12,0,0,"Low Risk",1,0,2
"EG_WAL_11214","Alexandria","Merchant",675,89,13,1000,0,"Low Risk",1,0,3
"EG_WAL_10834","Giza","Basic",450,89,15,5000,1,"Medium Risk",1,0,4
"EG_WAL_10095","Giza","Basic",585,89,16,500,0,"Low Risk",1,0,4
"EG_WAL_12557","Cairo","Verified_Tier1",32,89,20,1000,1,"Medium Risk",1,0,6
"EG_WAL_10625","Cairo","Basic",565,89,13,1000,0,"Low Risk",1,0,2
"EG_WAL_11693","Cairo","Basic",242,89,18,2500,0,"Low Risk",1,0,5
"EG_WAL_10829","Giza","Basic",300,89,16,2500,0,"Low Risk",1,0,4
"EG_WAL_11064","Giza","Basic",58,89,17,1000,0,"Low Risk",1,0,4
"EG_WAL_13995","Giza","Basic",391,89,20,1000,0,"Low Risk",1,0,6
"EG_WAL_13161","Cairo","Basic",176,89,21,500,0,"Low Risk",1,0,6
"EG_WAL_14098","Cairo","Basic",61,89,17,2500,0,"Low Risk",1,0,4
"EG_WAL_11515","Cairo","Verified_Tier1",129,89,17,1000,0,"Low Risk",1,0,4
"EG_WAL_12684","Cairo","Basic",654,89,17,1000,0,"Low Risk",1,0,5
"EG_WAL_10340","Giza","Verified_Tier1",449,89,9,1000,0,"Low Risk",1,0,2
"EG_WAL_13110","Giza","Basic",259,89,15,1000,0,"Low Risk",1,0,4
"EG_WAL_11963","Cairo","Basic",142,89,21,5000,0,"Low Risk",1,0,6
"EG_WAL_11599","Gharbia","Basic",291,89,22,2500,0,"Low Risk",1,0,6
"EG_WAL_12340","Alexandria","Basic",599,89,13,5000,0,"Low Risk",1,0,3
"EG_WAL_14030","Alexandria","Basic",699,89,15,500,2,"Medium Risk",1,0,4
"EG_WAL_10357","Giza","Verified_Tier1",194,89,20,5000,0,"Low Risk",1,0,6
"EG_WAL_11592","Cairo","Basic",683,89,13,500,0,"Low Risk",1,0,3
"EG_WAL_14193","Alexandria","Basic",422,89,17,1000,1,"Medium Risk",1,0,5
"EG_WAL_11447","Gharbia","Basic",625,89,17,2500,0,"Low Risk",1,0,5
"EG_WAL_11877","Giza","Basic",165,89,17,2500,1,"Medium Risk",1,0,4
"EG_WAL_10006","Cairo","Verified_Tier1",184,89,17,0,2,"Medium Risk",1,0,5
"EG_WAL_10742","Alexandria","Basic",121,89,17,500,0,"Low Risk",1,0,4
"EG_WAL_12260","Alexandria","Basic",192,89,11,2500,1,"Medium Risk",1,0,2
"EG_WAL_12051","Giza","Basic",665,89,15,500,0,"Low Risk",1,0,3
"EG_WAL_10780","Alexandria","Basic",580,89,13,2500,0,"Low Risk",1,0,3
"EG_WAL_10136","Giza","Verified_Tier1",716,89,19,1000,0,"Low Risk",1,0,5
"EG_WAL_10208","Cairo","Basic",69,89,13,500,0,"Low Risk",1,0,3
"EG_WAL_12495","Giza","Basic",374,89,17,1000,0,"Low Risk",1,0,5
"EG_WAL_12926","Gharbia","Verified_Tier1",714,89,20,2500,1,"Medium Risk",1,0,6
"EG_WAL_12006","Giza","Basic",322,89,12,1000,0,"Low Risk",1,0,2
"EG_WAL_10163","Giza","Verified_Tier1",280,89,16,1000,1,"Medium Risk",1,0,4
"EG_WAL_13589","Cairo","Basic",449,89,8,500,0,"Low Risk",1,0,2
"EG_WAL_10883","Cairo","Basic",43,89,12,2500,0,"Low Risk",1,0,2
"EG_WAL_11487","Alexandria","Merchant",572,89,19,500,0,"Low Risk",1,0,5
"EG_WAL_11916","Gharbia","Verified_Tier1",192,89,15,1000,0,"Low Risk",1,0,4
"EG_WAL_12440","Giza","Basic",294,89,18,1000,0,"Low Risk",1,0,5
"EG_WAL_13621","Cairo","Basic",193,89,15,5000,0,"Low Risk",1,0,3
